Flare ID,Start Time,Peak Time,End Time,Class Type,Source Location,Active Region,Linked Events,Instruments,Note
2025-01-07T22:35:00-FLR-001,2025-01-07T22:35Z,2025-01-07T23:05Z,2025-01-07T23:42Z,M1.1,S17W99,13939.0,{'activityID': '2025-01-07T23:12:00-CME-001'},GOES-P: EXIS 1.0-8.0,"Long-duration flare. Associated with large eruption and brightening seen from just beyond the southwest limb in GOES SUVI imagery. There is some uncertainty in the exact location since this is not directly on the disk, but very likely associated with Active Region 13939 which is estimated to have been located at roughly S17W99 at the peak time of the flare (2025-01-07T23:05Z)."
2025-01-09T00:18:00-FLR-001,2025-01-09T00:18Z,2025-01-09T00:26Z,2025-01-09T00:33Z,M1.1,N15W09,13947.0,,GOES-P: EXIS 1.0-8.0,
2025-01-10T09:24:00-FLR-001,2025-01-10T09:24Z,2025-01-10T09:42Z,2025-01-10T09:50Z,C6.1,S15W49,13951.0,,GOES-P: EXIS 1.0-8.0,
2025-01-11T08:35:00-FLR-001,2025-01-11T08:35Z,2025-01-11T08:44Z,2025-01-11T09:02Z,C2.8,N24W80,13954.0,{'activityID': '2025-01-11T09:09:00-CME-001'},GOES-P: EXIS 1.0-8.0,Simultaneous brightening from recently-decayed Active Region 13954 (N24W76) as well as an unnumbered region just beyond the E limb located at an estimated N19E90-N19E100.
2025-01-17T02:01:00-FLR-001,2025-01-17T02:01Z,2025-01-17T02:11Z,2025-01-17T02:17Z,M1.3,N07W23,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-17T03:08:00-FLR-001,2025-01-17T03:08Z,2025-01-17T03:20Z,2025-01-17T03:34Z,M1.1,S10E43,13961.0,,GOES-P: EXIS 1.0-8.0,
2025-01-17T09:10:00-FLR-001,2025-01-17T09:10Z,2025-01-17T09:19Z,2025-01-17T09:23Z,M2.0,N07W28,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-17T11:19:00-FLR-001,2025-01-17T11:19Z,2025-01-17T11:37Z,2025-01-17T11:49Z,M1.5,N07W29,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-17T13:24:00-FLR-001,2025-01-17T13:24Z,2025-01-17T13:35Z,2025-01-17T13:39Z,M7.4,N07W30,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-17T18:42:00-FLR-001,2025-01-17T18:42Z,2025-01-17T18:50Z,2025-01-17T19:04Z,M2.1,N07W32,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-17T19:44:00-FLR-001,2025-01-17T19:44Z,2025-01-17T19:49Z,2025-01-17T19:55Z,M1.8,N05W35,13964.0,{'activityID': '2025-01-17T21:24:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-17T19:59:00-FLR-001,2025-01-17T19:59Z,2025-01-17T20:01Z,2025-01-17T20:02Z,M1.1,N06W29,13964.0,{'activityID': '2025-01-17T21:24:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-17T22:00:00-FLR-001,2025-01-17T22:00Z,2025-01-17T22:05Z,2025-01-17T22:14Z,M1.0,N05W35,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-18T00:44:00-FLR-001,2025-01-18T00:44Z,2025-01-18T00:58Z,2025-01-18T01:03Z,M1.7,N06W34,13964.0,{'activityID': '2025-01-18T01:36:00-CME-001'},GOES-P: EXIS 1.0-8.0,
2025-01-18T03:00:00-FLR-001,2025-01-18T03:00Z,2025-01-18T03:07Z,2025-01-18T03:15Z,M1.1,N08W36,13964.0,,GOES-P: EXIS 1.0-8.0,
2025-01-19T03:28:00-FLR-001,2025-01-19T03:28Z,2025-01-19T03:32Z,2025-01-19T03:36Z,M2.4,N06W49,13964.0,,GOES-P: EXIS 1.0-8.0,
